<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, 
,,,,,,,,,,,
,,,,,,,,,,,
Revenue, ,<!-- rich cell -->,<!-- rich cell -->,,,$,"198,270",<!-- rich cell -->,<!-- rich cell -->,7%, 
Gross margin, ,,<!-- rich cell -->,,,,"135,620",<!-- rich cell -->,<!-- rich cell -->,8%, 
Operating income, ,,<!-- rich cell -->,,,,"83,383",<!-- rich cell -->,<!-- rich cell -->,6%, 
Net income,,,<!-- rich cell -->,,,,"72,738",,,(1)%,
Diluted earnings per share, ,,<!-- rich cell -->,,,,9.65,<!-- rich cell -->,<!-- rich cell -->,0%, 
,,,,,,,,,,,
Adjusted gross margin (non-GAAP),,,<!-- rich cell -->,,,,"135,620",,,8%,
Adjusted operating income (non-GAAP),,,<!-- rich cell -->,,,,"83,383",,,8%,
Adjusted net income (non-GAAP) ,,,<!-- rich cell -->,,,,"69,447",,,6%,
Adjusted diluted earnings per share (non-GAAP),,,<!-- rich cell -->,,,,9.21,,,7%,
,,,,,,,,,,,
