<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->, 
,,,,,,,,,,,
,,,,,,,,,,,
<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , , , , ,<!-- rich cell -->, 
,,,,,,,,,,,
Productivity and Business Processes,,<!-- rich cell -->,<!-- rich cell -->,,,$,"63,364",,,9%,
Intelligent Cloud,,,<!-- rich cell -->,,,,"74,965",,,17%,
More Personal Computing,,,<!-- rich cell -->,<!-- rich cell -->, ,,"59,941", , ,(9)%,
,,,,,,,,,,,
 , , , ,, , , ,, , , 
Total , ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"198,270", , ,7%, 
,,,,,,,,,,,
,,,,,,,,,,,
<!-- rich cell -->,,,,,,,,,,,
,,,,,,,,,,,
Productivity and Business Processes,,<!-- rich cell -->,<!-- rich cell -->,,,$,"29,690",,,15%,
Intelligent Cloud,,,<!-- rich cell -->,,,,"33,203",,,14%,
More Personal Computing,,,<!-- rich cell -->,,,,"20,490",,,(20)%,
,,,,,,,,,,,
 , , , ,, , , ,, , , 
Total ,,<!-- rich cell -->,<!-- rich cell -->,,,$,"83,383",,,6%,
,,,,,,,,,,,
