,,,,,<!-- rich cell -->,<!-- rich cell -->,
,,,,,,,
<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,,,,,
,,,,,,,
,,Item 1.,,Business,,3,
,,,,,,,
,,,,Information about our Executive Officers,,19,
,,,,,,,
,,Item 1A.,,Risk Factors,,21,
,,,,,,,
,,Item 1B.,,Unresolved Staff Comments,,34,
,,,,,,,
,,Item 2.,,Properties,,34,
,,,,,,,
,,Item 3.,,Legal Proceedings,,34,
,,,,,,,
,,Item 4.,,Mine Safety Disclosures,,34,
,,,,,,,
<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,,,,,
,,,,,,,
,,Item 5.,,"Market for Registrant’s Common Equity, Related Stockholder Matters, and Issuer Purchases of Equity Securities",,35,
,,,,,,,
,,Item 6.,,[Reserved],,35,
,,,,,,,
,,Item 7.,,Management’s Discussion and Analysis of Financial Condition and Results of Operations,,36,
,,,,,,,
,,Item 7A.,,Quantitative and Qualitative Disclosures about Market Risk,,52,
,,,,,,,
,,Item 8.,,Financial Statements and Supplementary Data,,53,
,,,,,,,
,,Item 9.,,Changes in and Disagreements with Accountants on Accounting and Financial Disclosure,,95,
,,,,,,,
,,Item 9A.,,Controls and Procedures,,95,
,,,,,,,
,,,,Report of Management on Internal Control over Financial Reporting,,95,
,,,,,,,
,,,,Report of Independent Registered Public Accounting Firm,,96,
,,,,,,,
,,Item 9B.,,Other Information,,97,
,,,,,,,
,,Item 9C.,,Disclosure Regarding Foreign Jurisdictions that Prevent Inspections,,97,
,,,,,,,
<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,,,,,
,,,,,,,
,,Item 10.,,"Directors, Executive Officers, and Corporate Governance",,97,
,,,,,,,
,,Item 11.,,Executive Compensation,,97,
,,,,,,,
,,Item 12.,,Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters,,97,
,,,,,,,
,,Item 13.,,"Certain Relationships and Related Transactions, and Director Independence",,97,
,,,,,,,
,,Item 14.,,Principal Accountant Fees and Services,,97,
,,,,,,,
<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,,,,,
,,,,,,,
,,Item 15.,,Exhibit and Financial Statement Schedules,,98,
,,,,,,,
,,Item 16.,,Form 10-K Summary,,107,
,,,,,,,
,,,,Signatures,,108,
