<!-- rich cell -->, , , , , , , , , , , , 
,,,,,,,,,,,,
,,,,,,,,,,,,
<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, 
,,,,,,,,,,,,
Beginning unrecognized tax benefits, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"14,550", , ,$,"13,792", 
Decreases related to settlements, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,(317,), , ,(195,)
Increases for tax positions related to the current year, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,"1,145", , , ,790, 
Increases for tax positions related to prior years, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,461, , , ,461, 
Decreases for tax positions related to prior years, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,(246,), , ,(297,)
Decreases due to lapsed statutes of limitations, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,0,, , ,(1,)
,,,,,,,,,,,,
,,,,,,,,,,,,
Ending unrecognized tax benefits, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"15,593", , ,$,"14,550", 
,,,,,,,,,,,,
