 , , , , , ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, 
<!-- rich cell -->, ,<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->, , , , ,<!-- rich cell -->,<!-- rich cell -->, , , ,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, 
 ,,,,,,,,,,,,,,,,,,,,,,,
3.1, ,Amended and Restated Articles of Incorporation of Microsoft Corporation, , , , , ,8-K, , , ,,,, , , ,3.1, , , ,12/1/2016, 
 ,,,,,,,,,,,,,,,,,,,,,,,
3.2, ,Bylaws of Microsoft Corporation, ,,, , ,8-K, , , , , , , , , ,3.2, , , ,7/3/2023, 
 ,,,,,,,,,,,,,,,,,,,,,,,
4.1, ,"Indenture, dated as of May 18, 2009, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as Trustee (“Base Indenture”)", , , , , ,S-3ASR, , , , , , , , , ,4.1, , , ,10/29/2015, 
 ,,,,,,,,,,,,,,,,,,,,,,,
4.2, ,"Form of First Supplemental Indenture for 2.95% Notes due 2014, 4.20% Notes due 2019, and 5.20% Notes due 2039, dated as of May 18, 2009, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as Trustee, to the Base Indenture", , , , , ,8-K, , , , , , , , , ,4.2, , , ,5/15/2009, 
 ,,,,,,,,,,,,,,,,,,,,,,,
4.5, ,"Form of Second Supplemental Indenture for 0.875% Notes due 2013, 1.625% Notes due 2015, 3.00% Notes due 2020, and 4.50% Notes due 2040, dated as of September 27, 2010, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as Trustee, to the Indenture, dated as of May 18, 2009, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as Trustee", , , , , ,8-K, , , , , , , , , ,4.2, , , ,9/27/2010, 
 ,,,,,,,,,,,,,,,,,,,,,,,
4.6, ,"Third Supplemental Indenture for 2.500% Notes due 2016, 4.000% Notes due 2021, and 5.300% Notes due 2041, dated as of February 8, 2011, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as Trustee, to the Indenture, dated as of May 18, 2009, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as Trustee", , , , , ,8-K, , , , , , , , , ,4.2, , , ,2/8/2011, 
 ,,,,,,,,,,,,,,,,,,,,,,,
4.7, ,"Fourth Supplemental Indenture for 0.875% Notes due 2017, 2.125% Notes due 2022, and 3.500% Notes due 2042, dated as of November 7, 2012, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as Trustee, to the Indenture, dated as of May 18, 2009, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as Trustee", , , , , ,8-K, , , , , , , , , ,4.1, , , ,11/7/2012, 
,,,,,,,,,,,,,,,,,,,,,,,
4.8,,<!-- rich cell -->,,,,,,8-K,,,,,,,,,,4.1,,,,5/1/2013,
 ,,,,,,,,,,,,,,,,,,,,,,,
