<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->
 , , , , , , , , , , , , 
 , , , , , , , , , , , ,
Gross margin,,,<!-- rich cell -->,<!-- rich cell -->,,,$,"146,052",,17%,,
"Severance, hardware-related impairment, and lease consolidation costs",,,,<!-- rich cell -->,,,,152,,*,,
 ,,,,,,,,,,,,
 ,,,,,, , , ,, ,<!-- rich cell -->,<!-- rich cell -->
Adjusted gross margin (non-GAAP), , ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"146,204", ,17%,,
 ,,,,,,,,,,,,
 ,,,,,,,,,,,,
Operating income,,,<!-- rich cell -->,<!-- rich cell -->,,,$,"88,523",,24%,,
"Severance, hardware-related impairment, and lease consolidation costs",,,,<!-- rich cell -->,,,,"1,171",,*,,
 ,,,,,,,,,,,,
 ,,,,,, , , ,, ,<!-- rich cell -->,<!-- rich cell -->
Adjusted operating income (non-GAAP),,,<!-- rich cell -->,<!-- rich cell -->,,,$,"89,694",,22%,,
 ,,,,,,,,,,,,
 ,,,,,,,,,,,,
Net income,,,<!-- rich cell -->,<!-- rich cell -->,,,$,"72,361",,22%,,
"Severance, hardware-related impairment, and lease consolidation costs",,,,<!-- rich cell -->,,,,946,,*,,
 ,,,,,,,,,,,,
 ,,,,,, , , ,, ,,
Adjusted net income (non-GAAP), , ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"73,307", ,20%, , 
 ,,,,,,,,,,,,
 ,,,,,,,,,,,,
Diluted earnings per share,,,<!-- rich cell -->,<!-- rich cell -->,,,$,9.68,,22%,,
"Severance, hardware-related impairment, and lease consolidation costs",,,,<!-- rich cell -->,,,,0.13,,*,,
 ,,,,,,,,,,,,
 ,,,,,, , , ,, ,<!-- rich cell -->,<!-- rich cell -->
Adjusted diluted earnings per share (non-GAAP),,,<!-- rich cell -->,<!-- rich cell -->,,,$,9.81,,20%,,
 ,,,,,,,,,,,,
