<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, 
,,,,,,,,,,,,
,,,,,,,,,,,,
<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, 
,,,,,,,,,,,,
<!-- rich cell -->,,,,,,,,,,,,
,,,,,,,,,,,,
Foreign exchange contracts,,,,,,,,,,,,
Derivatives, ,<!-- rich cell -->,<!-- rich cell -->,, ,$,0,, ,$,49,
Hedged items,,,<!-- rich cell -->,,,,0,,,,(50,)
Excluded from effectiveness assessment,,,<!-- rich cell -->,,,,0,,,,4,
Interest rate contracts,,,,,,,,,,,,
Derivatives,,,<!-- rich cell -->,<!-- rich cell -->,,,(65,),,,(92,)
Hedged items,,,<!-- rich cell -->,<!-- rich cell -->,,,38,,,,108,
,,,,,,,,,,,,
<!-- rich cell -->,,,,,,,,,,,,
,,,,,,,,,,,,
Foreign exchange contracts,,,,,,,,,,,,
Amount reclassified from accumulated other comprehensive loss,,,<!-- rich cell -->,<!-- rich cell -->,,,61,,,,(79,)
,,,,,,,,,,,,
<!-- rich cell -->,,,,,,,,,,,,
,,,,,,,,,,,,
Foreign exchange contracts,,,<!-- rich cell -->,,,,(73,),,,383,
Equity contracts,,,<!-- rich cell -->,<!-- rich cell -->,,,(420,),,,13,
Other contracts,,,<!-- rich cell -->,<!-- rich cell -->,,,(41,),,,(85,)
,,,,,,,,,,,,
