<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->,, ,<!-- rich cell -->,<!-- rich cell -->,,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<!-- rich cell -->,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Productivity and Business Processes, ,$,"24,811",<!-- rich cell -->, ,$,11,, ,$,(47,), ,<!-- rich cell -->,<!-- rich cell -->,, ,<!-- rich cell -->,<!-- rich cell -->,,,<!-- rich cell -->,<!-- rich cell -->,, ,<!-- rich cell -->,<!-- rich cell -->, 
Intelligent Cloud, , ,"30,182",<!-- rich cell -->, , ,223,, , ,64,, , ,<!-- rich cell -->,, , ,<!-- rich cell -->,,, ,<!-- rich cell -->,<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, 
More Personal Computing, , ,"12,531",, , ,0, , , ,111,, , ,<!-- rich cell -->,, , ,<!-- rich cell -->,<!-- rich cell -->,, ,<!-- rich cell -->,<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total, ,$,"67,524",, ,$,234, , ,$,128,, ,<!-- rich cell -->,<!-- rich cell -->,,,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,,<!-- rich cell -->,<!-- rich cell -->,, ,<!-- rich cell -->,<!-- rich cell -->, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
