<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, 
,,,,,,,,,,,,
,,,,,,,,,,,,
<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, 
,,,,,,,,,,,,
<!-- rich cell -->,,,,,,,,,,,,
,,,,,,,,,,,,
U.S. federal, ,<!-- rich cell -->,<!-- rich cell -->,,,$,"14,009",,,$,"8,329",
U.S. state and local,,,<!-- rich cell -->,,,,"2,322",,,,"1,679",
Foreign, ,,<!-- rich cell -->,,,,"6,678",,,,"6,672",
,,,,,,,,,,,,
,,,,,,,,,,,,
Current taxes, ,<!-- rich cell -->,<!-- rich cell -->,,,$,"23,009",,,$,"16,680",
,,,,,,,,,,,,
<!-- rich cell -->,,,,,,,,,,,,
,,,,,,,,,,,,
U.S. federal, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,,$,"(6,146",),,$,"(4,815 ",)
U.S. state and local,,,<!-- rich cell -->,<!-- rich cell -->,,,(477,),,,"(1,062",)
Foreign, ,,<!-- rich cell -->,,,,564,,,,175,
,,,,,,,,,,,,
,,,,,,,,,,,,
Deferred taxes, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,,$,"(6,059",),,$,"(5,702",)
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Provision for income taxes,,<!-- rich cell -->,<!-- rich cell -->,,,$,"16,950",,,$,"10,978",
,,,,,,,,,,,,
