<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, 
<!-- rich cell -->,,,,,,,,,,,,
<!-- rich cell -->,,,,, ,,,,,,,
<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , , , , , , , 
 ,,,,, , , , ,,,,
Revenue, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"106,820", , , ,13%, 
Cost of revenue, ,,<!-- rich cell -->,<!-- rich cell -->, ,,"19,611", , , ,14%, 
Operating expenses, ,,<!-- rich cell -->,<!-- rich cell -->, ,,"27,548", , , ,4%, 
 , , , ,, ,,,,,,,
 , , , ,, , , ,, , ,,
Operating Income, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"59,661", , , ,17%, 
 , ,,,, ,,,,,,,
 ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , , , ,,,,
<!-- rich cell -->,<!-- rich cell -->,,,,<!-- rich cell -->,,,,<!-- rich cell -->,<!-- rich cell -->,,
, ,,,, ,,,,,,,
Revenue, ,<!-- rich cell -->,<!-- rich cell -->, , ,$,"87,464",, , ,21%,
Cost of revenue, ,,<!-- rich cell -->, , ,,"29,611",, , ,36%,
Operating expenses, ,,<!-- rich cell -->, , ,,"20,040",, , ,7%,
  ,  ,  ,  ,, ,,,,,,,
 , , , ,, , , ,, , ,,
Operating Income, ,<!-- rich cell -->,<!-- rich cell -->, , ,$,"37,813",, , ,18%,
 ,,,,,,,,,,,,
,,,,,,,,,,,,
<!-- rich cell -->,,,,,,,,,,,,
,,,,,,,,,,,,
Revenue,,<!-- rich cell -->,<!-- rich cell -->,,,$,"50,838",,,,7%,
Cost of revenue,,,<!-- rich cell -->,,,,"24,892",,,,1%,
Operating expenses,,,<!-- rich cell -->,,,,"13,987",,,,9%,
,,,,,,,,,,,,
,,,,,,,,,,,,
Operating Income,,<!-- rich cell -->,<!-- rich cell -->,,,$,"11,959",,,,18%,
,,,,,,,,,,,,
,,,,,,,,,,,,
<!-- rich cell -->,,,,,,,,,,,,
,,,,,,,,,,,,
Revenue,,<!-- rich cell -->,<!-- rich cell -->,,,$,"245,122",,,,15%,
Cost of revenue,,,<!-- rich cell -->,,,,"74,114",,,,19%,
Operating expenses,,,<!-- rich cell -->,,,,"61,575",,,,6%,
,,,,,,,,,,,,
Operating Income,,<!-- rich cell -->,<!-- rich cell -->,,,$,"109,433",,,,17%,
,,,,,,,,,,,,
