<!-- rich cell -->, , , , , , , ,
,,,,,,,,
,,,,,,,,
<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->,
,,,,,,,,
Interest and dividends income, ,<!-- rich cell -->,<!-- rich cell -->,, ,$,"3,157", 
Interest expense, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,"(2,935",)
Net recognized losses on investments, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,(118,) 
Net losses on derivatives, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,(187,) 
Net gains (losses) on foreign currency remeasurements, ,<!-- rich cell -->,<!-- rich cell -->,, , ,(244,)
"Other, net", ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,"(1,319",) 
,,,,,,,,
 , , , ,, , ,,
Total, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"(1,646",) 
 , , , ,, , , ,
