<!-- rich cell -->, , , , , , , , , , , , , 
 , , , , , , , , , , , , ,
,,,,,,,,,,,,,
<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, 
,,,,,,,,,,,,,
Net realized gains on investments sold, ,<!-- rich cell -->,<!-- rich cell -->,, ,$,18,, ,$,75,,
Net unrealized gains on investments still held, ,<!-- rich cell -->,<!-- rich cell -->,, , ,146,, , ,303,,
Impairments of investments, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,(229,), , ,(20,),)
,,,,,,,,,,,,,
 , , , ,, , , ,, , ,,,
Total, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,(65,) , ,$,358, , 
,,,,,,,,,,,,,
