<!-- rich cell -->, , , , , , , , 
<!-- rich cell -->,,,,,,,,
 ,,,,,,,,
<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->,<!-- rich cell -->, 
 ,,,,,,,,
Productivity and Business Processes, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"43,599", 
Intelligent Cloud, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,"13,683", 
More Personal Computing, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , ,"2,902", 
 ,,,,,,,,
 ,,,,,,,,
Total, ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,$,"60,184", 
 ,,,,,,,,
