<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, , , , ,,,,,,,,
 ,, , , , , , , , , , , , ,
 , , ,,,,,,,,,,,,
<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, ,,,<!-- rich cell -->,,,,<!-- rich cell -->,
 , , ,,,,,,,,,,,,
Operating lease cost,Operating lease cost,Operating lease cost, ,<!-- rich cell -->,<!-- rich cell -->, ,,$,"3,555", ,,$,"2,875",
 , , ,,,, ,,,, ,,,,
 , , ,,,, ,,,, ,,,,
Finance lease cost:,Finance lease cost:,Finance lease cost:, ,<!-- rich cell -->,, ,,,, ,,,,
Amortization of right-of-use assets,Amortization of right-of-use assets,Amortization of right-of-use assets, ,<!-- rich cell -->,<!-- rich cell -->, ,,$,"1,800", ,,$,"1,352",
Interest on lease liabilities,Interest on lease liabilities,Interest on lease liabilities, ,<!-- rich cell -->,<!-- rich cell -->, ,,,734, ,,,501,
<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,,,,,,,<!-- rich cell -->,,
 , , ,,,,,,,,,,,,
Total finance lease cost,Total finance lease cost,Total finance lease cost, ,<!-- rich cell -->,<!-- rich cell -->, ,,$,"2,534", ,,$,"1,853",
 , , , ,<!-- rich cell -->,<!-- rich cell -->,,,,,,,,,
