<!-- rich cell -->, ,<!-- rich cell -->,<!-- rich cell -->, , ,<!-- rich cell -->
 , , , , , , 
,,,,,,
Satya Nadella, , ,57, , ,Chairman and Chief Executive Officer
Judson B. Althoff,,,52,,,Executive Vice President and Chief Commercial Officer
Amy L. Coleman,,,53,,,Executive Vice President and Chief Human Resources Officer
Kathleen T. Hogan, , ,59, , ,"Executive Vice President, Office of Strategy and Transformation "
Amy E. Hood, , ,53, , ,Executive Vice President and Chief Financial Officer
Takeshi Numoto,,,54,,,Executive Vice President and Chief Marketing Officer
Bradford L. Smith, , ,66, , ,Vice Chair and President
 , , , , , , 
