<!-- rich cell -->,,,,,,,,,,,,
 , , , , , , , , , , , ,
 , , , , , , , , , , , ,
<!-- rich cell -->,,,<!-- rich cell -->,,,,<!-- rich cell -->,,,,<!-- rich cell -->,
 ,,,,,,,,,,,,
<!-- rich cell -->,,,,,,,,,,,,
 ,,,,,,,,,,,,
Revenue,,<!-- rich cell -->,<!-- rich cell -->,,,$,"106,820",,,$,"94,151",
Cost of revenue,,,<!-- rich cell -->,,,,"19,611",,,,"17,202",
Operating expenses,,,<!-- rich cell -->,,,,"27,548",,,,"26,875",
<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,,,,,,,,,
 ,,,,,,,,,,,,
Operating Income,,<!-- rich cell -->,<!-- rich cell -->,,,$,"59,661",,,$,"50,074",
 ,,,,,,,,,,,,
<!-- rich cell -->,,,,,,,,,,,,
<!-- rich cell -->,,,,,,,,,,,,
 ,,,,,,,,,,,,
Revenue, ,<!-- rich cell -->,<!-- rich cell -->,, ,$,"87,464",, ,$,"72,944",
Cost of revenue, ,,<!-- rich cell -->,<!-- rich cell -->, , ,"29,611",, , ,"24,109", 
Operating expenses, ,,<!-- rich cell -->,, ,,"20,040",, ,,"20,424",
 , , , ,, , , ,, , ,,
 ,,,,,,,,,,,,
Operating Income, ,<!-- rich cell -->,<!-- rich cell -->,, ,$,"37,813",, ,$,"28,411",
 , , , ,, , , ,, , , ,
,,,,,,,,,,,,
<!-- rich cell -->,,,,,,,,,,,,
,,,,,,,,,,,,
Revenue,,<!-- rich cell -->,<!-- rich cell -->,,,$,"50,838",,,$,"44,820",
Cost of revenue,,,<!-- rich cell -->,,,,"24,892",,,,"24,552",
Operating expenses,,,<!-- rich cell -->,,,,"13,987",,,,"10,230",
,,,,,,,,,,,,
,,,,,,,,,,,,
Operating Income,,<!-- rich cell -->,<!-- rich cell -->,,,$,"11,959",,,$,"10,038",
,,,,,,,,,,,,
,,,,,,,,,,,,
<!-- rich cell -->,,,,,,,,,,,,
,,,,,,,,,,,,
Revenue,,<!-- rich cell -->,<!-- rich cell -->,,,$,"245,122",,,$,"211,915",
Cost of revenue,,,<!-- rich cell -->,,,,"74,114",,,,"65,863",
Operating expenses,,,<!-- rich cell -->,,,,"61,575",,,,"57,529",
,,,,,,,,,,,,
,,,,,,,,,,,,
Operating Income,,<!-- rich cell -->,<!-- rich cell -->,,,$,"109,433",,,$,"88,523",
,,,,,,,,,,,,
